epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.852,1.81971,4.70158,2.26823,0.52104,0.05,0.01311,0.0054,2.5287,9.56998,3.72651,6.666e-05,6.666e-05,6.666e-05
2,233.112,1.65351,3.83007,2.09492,0.62972,0.12143,0.07958,0.02386,2.12301,11.3552,3.02894,0.00014157,0.00014157,0.00014157
3,346.505,1.66705,3.23831,1.97212,0.05153,0.29643,0.06003,0.01652,2.10337,6.8225,2.92496,0.000213401,0.000213401,0.000213401
4,447.068,1.60433,3.22315,1.88238,0.12842,0.12696,0.07786,0.02664,2.10791,5.10515,2.98275,0.000282152,0.000282152,0.000282152
5,549.4,1.50496,3.01874,1.80028,0.25813,0.08929,0.10224,0.03169,2.33659,5.71243,3.11808,0.000347823,0.000347823,0.000347823
6,649.78,1.49064,2.854,1.8206,0.44503,0.08571,0.07559,0.03155,3.18747,7.10882,4.36122,0.000410415,0.000410415,0.000410415
7,741.697,1.64416,2.86726,1.94891,0.46615,0.2937,0.14803,0.04372,2.28262,9.10055,3.49259,0.000469926,0.000469926,0.000469926
8,842.475,1.59183,2.78373,1.9079,0.68316,0.15135,0.15019,0.0467,2.36749,6.45794,3.17208,0.000526358,0.000526358,0.000526358
9,944.422,1.61997,2.77505,1.92559,0.33641,0.20357,0.08096,0.0209,2.2933,5.75521,3.34949,0.000579711,0.000579711,0.000579711
10,1039.96,1.66783,2.68498,1.95978,0.32312,0.35714,0.0649,0.02434,2.24585,6.50956,3.73905,0.000629984,0.000629984,0.000629984
11,1133.91,1.55283,2.4735,1.84666,0.28926,0.34286,0.12828,0.04854,2.201,6.43801,3.11563,0.000677177,0.000677177,0.000677177
12,1228.4,1.46486,2.30561,1.76085,0.57097,0.13929,0.0771,0.02179,2.91009,5.46661,3.62188,0.00072129,0.00072129,0.00072129
13,1321.4,1.5804,2.39358,1.85817,0.20562,0.16263,0.13781,0.04896,2.76836,4.00816,3.58585,0.000762324,0.000762324,0.000762324
14,1415.94,1.5192,2.44824,1.84255,0.25,0.0344,0.04745,0.0194,2.52608,15.0949,3.17486,0.000800278,0.000800278,0.000800278
15,1507.24,1.52417,2.25701,1.81735,0.33195,0.31429,0.10128,0.03608,2.46526,7.55703,3.35432,0.000803031,0.000803031,0.000803031
16,1603.47,1.483,2.16594,1.77387,0.10339,0.26071,0.09467,0.02919,2.33714,12.1265,3.40443,0.000781033,0.000781033,0.000781033
17,1698.7,1.46039,2.14524,1.78285,0.19936,0.17143,0.12947,0.04979,2.32596,10.1646,3.23951,0.000759035,0.000759035,0.000759035
18,1807.28,1.53729,2.19092,1.82795,0.31462,0.175,0.08076,0.02144,2.38421,5.63001,3.07948,0.000737037,0.000737037,0.000737037
19,1901.82,1.48851,2.06869,1.75424,0.30643,0.17143,0.04246,0.01484,2.46889,4.27418,3.43101,0.00071504,0.00071504,0.00071504
20,1997.11,1.48018,2.09855,1.79359,0.0472,0.225,0.04961,0.01738,2.53988,4.78928,4.01994,0.000693042,0.000693042,0.000693042
21,2104.36,1.59394,2.08255,1.82175,0.12318,0.15007,0.04203,0.01468,2.55671,4.96256,3.91147,0.000671044,0.000671044,0.000671044
22,2198.81,1.48514,2.00324,1.74071,0.47238,0.17143,0.11422,0.04002,2.27467,4.63575,3.39112,0.000649046,0.000649046,0.000649046
