epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3775,3.11321,4.76752,4.23539,0.00287,0.70714,0.00453,0.00138,2.70719,4.8627,4.15839,6.666e-05,6.666e-05,6.666e-05
2,54.6282,3.09529,4.52162,4.19551,0.0029,0.70714,0.00646,0.00205,2.70435,4.86473,4.15508,0.00014157,0.00014157,0.00014157
3,78.8607,3.06549,4.53019,4.19121,0.00278,0.58214,0.00823,0.00212,2.69955,4.8695,4.14867,0.000213401,0.000213401,0.000213401
4,103.096,3.15209,4.5607,4.17043,0.00303,0.58214,0.00743,0.00178,2.69546,4.87135,4.14128,0.000282152,0.000282152,0.000282152
5,126.801,3.17246,4.54201,4.15553,0.00284,0.58214,0.00751,0.00195,2.68942,4.86865,4.12537,0.000347823,0.000347823,0.000347823
6,150.597,3.04255,4.47465,4.15285,0.00439,0.58214,0.015,0.00311,2.68453,4.86288,4.10436,0.000410415,0.000410415,0.000410415
7,174.613,3.08442,4.50654,4.10158,0.00233,0.58214,0.04062,0.01307,2.68894,4.84839,4.0579,0.000469926,0.000469926,0.000469926
8,198.371,3.11922,4.45002,4.09432,0.00218,0.58214,0.04531,0.01239,2.68955,4.82942,4.01058,0.000526358,0.000526358,0.000526358
9,222.034,2.99514,4.40709,4.07441,0.00232,0.61786,0.08886,0.02758,2.70785,4.79449,3.90882,0.000579711,0.000579711,0.000579711
10,246.056,3.15879,4.34592,3.99874,0.00274,0.61786,0.07469,0.01454,2.7191,4.82954,3.80519,0.000629984,0.000629984,0.000629984
11,269.953,2.95308,4.28425,3.90837,0.00198,0.49286,0.02161,0.00504,2.75332,5.00969,3.70051,0.000677177,0.000677177,0.000677177
12,294.335,3.04879,4.24012,3.87161,0.00187,0.45714,0.01066,0.00337,2.75693,7.64955,3.66336,0.00072129,0.00072129,0.00072129
13,318.768,3.0612,4.22597,3.8262,0.00199,0.49286,0.01239,0.00324,2.73854,6.75665,3.58752,0.000762324,0.000762324,0.000762324
14,343.573,2.93135,4.21565,3.73607,0.00185,0.45714,0.01224,0.0037,2.74786,6.58977,3.54487,0.000800278,0.000800278,0.000800278
15,368.189,3.0592,4.07326,3.74251,0.50302,0.225,0.00988,0.00303,2.76825,24.4083,4.04516,0.000803031,0.000803031,0.000803031
16,393.605,2.90436,4.07633,3.66605,0.50405,0.20714,0.01295,0.00445,2.70487,38.595,4.0392,0.000781033,0.000781033,0.000781033
17,418.901,3.00549,4.16466,3.69084,0.5051,0.20714,0.01155,0.00404,2.69138,50.6734,4.07203,0.000759035,0.000759035,0.000759035
18,443.31,2.8956,4.11803,3.63148,0.5057,0.07143,0.00521,0.00163,2.72658,10.7283,3.91197,0.000737037,0.000737037,0.000737037
19,467.715,2.90355,3.99632,3.56908,0.50539,0.05357,0.00691,0.00199,2.67419,9.60478,3.85833,0.00071504,0.00071504,0.00071504
20,492.249,2.86551,4.03353,3.5772,0.28403,0.29643,0.06252,0.02572,2.6321,19.0074,3.55676,0.000693042,0.000693042,0.000693042
21,516.407,2.86159,4.04444,3.53591,0.25513,0.42143,0.02878,0.01029,2.70622,20.2551,3.87197,0.000671044,0.000671044,0.000671044
22,541.185,2.88607,3.9978,3.54087,0.26124,0.29643,0.02739,0.01016,2.70597,16.0533,3.73615,0.000649046,0.000649046,0.000649046
23,565.359,2.7853,3.93501,3.43546,0.26097,0.23214,0.01416,0.00368,2.58788,8.13999,3.46849,0.000627048,0.000627048,0.000627048
24,589.494,2.754,3.88196,3.43155,0.25989,0.19643,0.01763,0.00553,2.62156,11.9625,3.48538,0.000605051,0.000605051,0.000605051
25,613.946,2.75666,3.90862,3.35771,0.27225,0.21071,0.0182,0.00572,2.67374,14.8417,3.62529,0.000583053,0.000583053,0.000583053
26,638.248,2.78785,3.84226,3.40878,0.26217,0.33214,0.01521,0.00537,2.70427,11.4039,3.54634,0.000561055,0.000561055,0.000561055
27,665.181,2.71326,3.84272,3.33401,0.26085,0.15357,0.02309,0.00604,2.59593,7.48774,3.29,0.000539057,0.000539057,0.000539057
28,700.502,2.62618,3.85766,3.28325,0.53685,0.03571,0.042,0.01015,2.55354,7.40259,3.20304,0.000517059,0.000517059,0.000517059
29,728.109,2.69149,3.86285,3.28989,0.26986,0.23214,0.04074,0.00986,2.58024,7.20314,3.19898,0.000495062,0.000495062,0.000495062
30,753.661,2.66166,3.90313,3.30069,0.25886,0.10714,0.03159,0.0079,2.54931,5.88872,3.21041,0.000473064,0.000473064,0.000473064
31,778.374,2.61284,3.87466,3.28456,0.27142,0.21975,0.02617,0.00684,2.50474,5.55669,3.27204,0.000451066,0.000451066,0.000451066
32,802.836,2.55618,3.9117,3.25321,0.52966,0.10714,0.02774,0.01062,2.53126,5.18922,3.42246,0.000429068,0.000429068,0.000429068
33,827.551,2.60678,3.83075,3.24912,0.26776,0.17857,0.03762,0.01292,2.56998,4.98151,3.425,0.00040707,0.00040707,0.00040707
34,855.508,2.58738,3.77565,3.21177,0.29584,0.35,0.05388,0.01657,2.41578,4.68014,3.18641,0.000385073,0.000385073,0.000385073
35,883.119,2.54525,3.83032,3.22075,0.27763,0.26046,0.03545,0.00814,2.40537,4.80203,3.10274,0.000363075,0.000363075,0.000363075
36,908.588,2.62001,3.75343,3.21916,0.25827,0.43929,0.03163,0.00742,2.42735,4.64018,3.18313,0.000341077,0.000341077,0.000341077
37,933.516,2.52146,3.73269,3.1868,0.00346,0.87857,0.03065,0.00789,2.41893,4.56811,3.22654,0.000319079,0.000319079,0.000319079
38,958.766,2.49247,3.63811,3.14938,0.00345,0.89643,0.02648,0.00726,2.42623,4.40848,3.26148,0.000297081,0.000297081,0.000297081
39,983.135,2.43512,3.65435,3.13317,0.00327,0.87857,0.05097,0.0193,2.39987,4.25997,3.26282,0.000275084,0.000275084,0.000275084
40,1007.45,2.36214,3.64736,3.08567,0.00765,0.59286,0.05318,0.0177,2.3887,4.11526,3.22591,0.000253086,0.000253086,0.000253086
41,1031.44,2.18674,4.15277,3.19929,0.00334,0.89643,0.0535,0.01588,2.41568,4.08969,3.24617,0.000231088,0.000231088,0.000231088
42,1055.03,2.20622,4.10797,3.18743,0.00333,0.89643,0.05214,0.01658,2.43842,4.05411,3.26722,0.00020909,0.00020909,0.00020909
43,1078.48,2.16226,4.04007,3.14559,0.0033,0.89643,0.05411,0.01691,2.42276,4.09449,3.30359,0.000187092,0.000187092,0.000187092
44,1101.86,2.1031,3.93684,3.07009,0.00335,0.91429,0.07513,0.01958,2.4253,4.10601,3.37478,0.000165095,0.000165095,0.000165095
45,1125.44,2.01688,3.87317,3.09167,0.00337,0.91429,0.07298,0.0181,2.46165,4.1339,3.4259,0.000143097,0.000143097,0.000143097
46,1149.1,2.01292,3.88013,3.05701,0.00337,0.91429,0.06084,0.01966,2.45164,4.12804,3.41565,0.000121099,0.000121099,0.000121099
47,1172.65,2.04272,3.80759,3.06734,0.26661,0.48571,0.06951,0.02548,2.39181,4.05609,3.33898,9.91012e-05,9.91012e-05,9.91012e-05
48,1196.13,2.13651,3.80052,3.11166,0.29294,0.31786,0.10065,0.03156,2.36182,3.97375,3.2742,7.71034e-05,7.71034e-05,7.71034e-05
49,1219.55,2.092,3.78317,3.08238,0.28249,0.26786,0.10927,0.03149,2.3697,3.93242,3.25084,5.51056e-05,5.51056e-05,5.51056e-05
50,1242.98,2.10822,3.80476,3.05314,0.2885,0.26786,0.11865,0.03525,2.35517,3.92581,3.2165,3.31078e-05,3.31078e-05,3.31078e-05
