epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8119,3.11321,4.76752,4.23539,0.00287,0.70714,0.00453,0.00138,2.70719,4.8627,4.15839,6.666e-05,6.666e-05,6.666e-05
2,70.2197,3.0948,4.52377,4.19833,0.00283,0.58214,0.00523,0.00166,2.70433,4.86478,4.15507,0.000143,0.000143,0.000143
3,100.435,3.05493,4.52904,4.19491,0.00282,0.58214,0.00788,0.00225,2.69938,4.86976,4.14844,0.0002178,0.0002178,0.0002178
4,130.922,3.14623,4.56391,4.17266,0.00267,0.58214,0.00876,0.00191,2.69495,4.87082,4.14073,0.000291061,0.000291061,0.000291061
5,160.599,3.17301,4.53603,4.14949,0.00305,0.58214,0.02666,0.00439,2.68718,4.86546,4.12392,0.000362781,0.000362781,0.000362781
6,191.995,3.03694,4.47944,4.14935,0.00342,0.58214,0.02114,0.00507,2.68123,4.85849,4.10253,0.000432962,0.000432962,0.000432962
7,223.24,3.09265,4.51475,4.10365,0.00237,0.58214,0.0414,0.01137,2.68196,4.83497,4.0542,0.000501603,0.000501603,0.000501603
8,256.631,3.11871,4.45333,4.07421,0.00258,0.58214,0.07244,0.02355,2.68151,4.81851,4.00472,0.000568704,0.000568704,0.000568704
9,287.682,3.01078,4.3924,4.0374,0.00188,0.49286,0.08222,0.0261,2.69916,4.78506,3.9086,0.000634265,0.000634265,0.000634265
10,317.197,3.1672,4.35313,3.97389,0.00196,0.49286,0.09011,0.01972,2.73206,4.84931,3.80087,0.000698287,0.000698287,0.000698287
11,347.309,2.95625,4.28305,3.8796,0.00198,0.49286,0.02084,0.00559,2.78455,5.19053,3.7331,0.000760768,0.000760768,0.000760768
12,372.445,3.0406,4.22132,3.83516,0.00202,0.49286,0.01204,0.003,2.78302,5.42639,3.7002,0.00082171,0.00082171,0.00082171
13,397.394,3.0763,4.2238,3.82124,0.00215,0.51071,0.01181,0.00313,2.75078,5.66098,3.66551,0.000881112,0.000881112,0.000881112
14,424.522,2.93472,4.17412,3.68141,0.50224,0.24286,0.01116,0.00379,2.77782,13.1548,3.80004,0.000938974,0.000938974,0.000938974
15,450.572,3.03563,4.03116,3.67928,0.25775,0.36786,0.01363,0.00381,2.86096,84.6615,4.40948,0.000957015,0.000957015,0.000957015
16,476.615,2.94004,4.01658,3.61556,0.26163,0.33929,0.01298,0.0035,2.72018,62.4925,3.74816,0.000946016,0.000946016,0.000946016
17,502.377,2.95589,4.03672,3.60655,0.26158,0.16071,0.02593,0.00575,2.72533,54.662,3.93309,0.000935018,0.000935018,0.000935018
18,528.944,2.90202,4.10837,3.5718,0.27494,0.01786,0.0211,0.00442,2.93023,15.454,4.3514,0.000924019,0.000924019,0.000924019
